,media_name,title,id,time,comments_count,digg_count,bury_count,favorite_count,content
0,环球网,尼泊尔：已分别致函中印两国政府，对中印纠纷“不站队”,6452025951462818061,2017-08-09,4447,35,41,6757," '【环球时报驻尼泊尔特约记者倪雯慧】尼泊尔副总理兼外长马哈拉7日在一个小型新闻发布会上表示:关于中印两国在洞朗地区的对峙,尼泊尔既不会受中印两国的影响也不会卷入。此为中印军队在洞朗地区对峙以来尼泊尔官方首次对此发表评论。同时,据《加德满都邮报》报道,尼泊尔驻北京和新德里使馆已经分别致函中印两国政府,表示尼泊尔将保持中立,不会在中印对峙中选边站队。尼泊尔沙阿王朝开国君主普利特维·纳拉扬·沙阿曾告诫子民:“尼泊尔就是夹在中印两块巨石中的山药”,比喻在处理与中印两大邻国关系时,尼泊尔要掌握好平衡。1962年中印爆发边境冲突时,前尼泊尔王国政府在中印两国间采取中立的态度,1962年10月24日,时任尼泊尔外交大臣的杜勒西·吉利一方面表示“尼泊尔将与印度保持密切的联系”,另一方面又强调“没有一个处于我们这样处境的国家会舍弃与中国的友好关系而追求其他”。虽然尼官方对中印对峙保持中立,但尼泊尔媒体已经开始出现有态度的声音。尼泊尔最大英文报纸《共和报》就曾刊登学者文章称,不丹和尼泊尔不希望像印度一样去抄袭旧式英国民主的剧本”。'"
1,行走印度的帝释天,地理知识科普：中印边境乃堆拉山口,6437716944371057153,2017-07-01,34,31,48,194,
2,财经杂志,中印经济较量不输边境对峙,6455546716505506318,2017-08-18,8,0,0,139, '中国对印度出口只占中国总出口额的2.6%，印度出口占其全球总出口额的4%，而且互相之间的出口产品都有潜在替代国，中印之间经济联系程度不像中美那样紧密，还远达不到互相伤害的程度。《财经》记者 郝洲/文 袁雪/编辑 中印两国之间的对峙不仅仅发生在边境地区，在经济领域，双方也始终在比拼着技巧和耐心，有时甚至会发生像拉达克地区班公湖附近互掷石块一样的惹眼事件。 8月16日，印度政府决定对进口自中国的化工产品聚四氟乙烯征收反倾销税的措施延长五年。聚四氟乙烯是炒菜锅及其他厨具用于防粘的外部涂层的主要成分；更早些时候，印度媒体报道称本国政府有可能对进口自中国的风力涡轮开始征收反倾销税。 9日，印度商业与工业部长尼尔马拉（Nirmala Sitharaman）在回答联邦院（印度议会上院）的询问时称，印度目前总共对93种进口自中国的产品征收反倾销税，还有40个针对中国产品的反倾销调查项目正在进行。 中国商务部发言人高峰称，印度是目前对中国发起贸易调查数量最多的国家，仅今年上半年，就有12起之多。 在商业与工业部进行的反倾销调查之外，16日，印度媒体又报道印度电子与信息产业部以“怀疑手机制造商正在窃取用户信息和数据”为由对21家智能手机制造商下发通知，要求它们提供在数据传输和存储过程中的标准和架构。如果在限期内未提交报告或被发现仍存在安全漏洞的企业，将面临巨额的赔偿和罚款。这21家手机制造商除了三星、苹果以及几家印度本土企业之外，绝对部分都是中资企业。中国的手机品牌目前占据了印度智能手机市场54%的份额。在边境问题僵持不下的局面下，这是否意味着印度吹响了对中国发动经济战的号角呢？多数受访对象并不这么看。“撇开这次边境事件，印度一直暗暗地在经济上与中国较劲，”盘古智库印度研究中心研究员毛克疾对《财经》记者指出。去年10月的排灯节（Diwali，编者注：是印度教、锡克教和耆那教等印度本土宗教“以光明驱走黑暗，以善良战胜邪恶”的节日，其盛况往往堪比新年节日）前，包括印度总理莫迪本人在内的一些政客便号召当地民众抵制购买中国商品，更多使用印度制造的产品来庆祝节日。这一抵制行动导致中国在印度的灯具销售比往年下降了60%，不过印度民众的过节开支也普遍上涨了三分之一。在以提高国内外对印度经济信心为核心主旨的“莫迪旋风”的鼓舞下，中国企业从2014年开始大举进军印度市场。2015年，中国在印度的投资额比前一年增长了5倍之多，接近9亿美元，2016年更是超过10亿美元。 但实际上，中国企业在印度的日子并不好过。以手机制造商为代表的一些中国企业将工厂迁移至印度的主要原因“并非当地生产成本低，而是因为市场准入门槛高，”毛克疾说。今年1月，为了推进实现印度在2020年电子产品净进口为零的目标，印度政府批准了总额约15亿美元的激励计划，鼓励国内企业在电子产品制造业进行投资。在“印度制造”战略的背景下，印度对手机及其零部件的本土化生产有着严格的政策引导。如果小米、华为等厂商的产品不在印度境内生产，则会被征收很高的关税。去年10月，进入印度市场已经两年的小米手机开展促销活动，50万部手机在短短72小时之内被抢购一空，2016年的销售额超过10亿美元，但是小米并没有披露在印度市场的利润率。已经离职的小米全球副总裁Hugo Barra称，小米通过手机硬件销售“并没有赚到钱”。曾在中兴通讯负责开发印度市场的汪涛也撰文称，以价格战见长的中国公司很少能在印度赚到钱。无论是抵制中国货还是推崇印度制造，其背后都是不断上涨的印度经济民族主义在撑腰。皮尤研究中心（Pew Research Center）在上个月发布的一份调查结果显示，印度人民党（当前印度执政党）有46%受访者担心中国经济对印度的影响，48%受访者担心与中国的领土争议，比例均明显高于此前一直统治印度政坛的国大党。 从中印双边贸易结构看，双方并不具备打贸易战的条件。2016年，印度对中国出口商品89.6亿美元，主要由铁矿石、棉纱、成品油、铜以及化工产品等工业初级原材料组成，而印度自中国进口商品606.6亿美元，多为电信设备、电子产品部件、电脑硬件以及工业机械等附加值较高的工业产品。 中国对印度出口只占中国总出口额的2.6%，印度出口占其全球总出口额的4%，而且互相之间的出口产品都有潜在替代国，中印之间经济联系程度不像中美那样紧密，还远达不到互相伤害的程度。 而且，“从长期角度而言，轻言经济战将置中国走出去的企业于非常不利的地位，”一名在印度生活多年的研究者对《财经》记者说。 18日，印度内务部发言人公开声明，不会因为边境事件而对中国在印度的投资计划设置安全审查障碍。相比与中国直接打贸易战，印度更渴望在可能发生的中美贸易战中渔翁得利。如果特朗普政府针对中国的制造商或在海外生产的美国公司展开惩罚措施，那么它们都需要印度的巨大市场，印人党的全国执行委员Seshadri Chari说。 在印度，也不乏一些精英人士对目前中印经济发展处于不同阶段有着清醒的认识。经常前来中国进行商务考察的Great Eagle Group的执行董事卡提克（Karttik Chopra）对《财经》记者表示，“中国和印度的经济一定是互补关系，而非竞争关系。” 例如在钢铁生产领域，中国由于国内产能过剩而需要关停大批钢厂，中国的钢铁产量约为每年9亿吨，而印度只有7500万吨，印度在交通基础设施领域的大规模兴建计划将为印度的钢铁市场提供强有力的支撑；这同样也适用于煤炭开采、重型机械制造和电力设施等领域。 “印度虽然因为特殊的原因没有参与中国的一带一路倡议，但这不代表印度不想与中国开展经济合作。印度同样需要中国的技术、设备和生产能力，而所谓的‘印度制造’并不是排外的，只是要求将生产线搬到印度并使用部分印度劳动力。无论如何，拥有7亿中产阶级的印度消费市场都不能轻易错过”，卡提克说。'
3,民航资源网,中印两国剑拔弩张 航空市场需未雨绸缪,6457536623113404685,2017-08-24,1,0,0,12, '两个超级人口大国互访人数有限近年中国（大陆地区）赴印度人数稳步增长，2016年超过25万人次，同比增长21.8%。2016年中国并未公布印度入境数据。以2015年数据观察，中印两国双向旅游交流人数达93.68万人次，其中中国旅客赴印度约21万人次，印度旅客来华约73.05万人次。2016年是印度“中国旅游年”，双方互访人数或已超过百万人次。但相较于两国庞大的人口规模及中国出境市场规模，两国互访人数并不庞大。中国赴印度人数增长，一方面是签证日益便利，另一方面则是频繁的经贸往来。2015年9月印度放开电子签证。所需材料也大幅简化，以往签证需要提供的存款证明和在职证明在电子签中不再需要提供。根据经济学人的统计，印度对中国贸易逆差不断加大。2016年，印度对华贸易赤字为511亿美元，在2009年，这一数字仅为192亿美元。中国向印度出口的主要有电子产品、机械、机械零件、化工产品和轮船等工业成品。印度出口中国的主要产品有矿石、矿渣、矿物燃料、棉花、铜等自然矿产和农产品。由于中国出口印度的产品中，附加价值高，贸易顺差还有扩大的趋势。中国的大型制造业越来越多地将印度中产阶级消费者视为一个有利可图的市场。印度在中国的投资额不及中国在印度投资额六分之一。据中国财政部数据，中国已经累计向印度投资了40.7亿美元，印度向中国投资了6.5亿美元。预计到2018年，中国对印度投资将超过200亿美元。60%的中国资本集中在印度的汽车领域，约有7家中国手机厂商已经或正计划在印度设立手机工厂。中印航权限制直飞航线发展2015年，中印之间新开3条航线后（北京-孟买于2016年夏秋季期间曾停飞），中国与印度之间中方航权已接近用完。根据现有中印航空运输协定，中印之间中方承运人每周可运营航班42班。由于印度的航空公司并未用完航权，印度方面谈判增加航权的意愿并不高。但值得关注的是，2016年印度方面已经放宽航空公司进入国际航线的门槛，取消航空公司需运营5年方可经营国际航线要求，新政策规定航空公司开展国际业务，仍须将20架或以上的飞机投入国内航线，不再需要5年运营资质。印度的多家低成本航空公司多计划先开通市场需求更大的东南亚航线。中印航空市场持续增长从印度方面公布的两国航空市场数据观察，2016年两国间航线客运量62.7万人次，同比增长25.6%。考虑中印双边互访人数已突破百万，互访多需要来回搭乘共计两次航班，中印航线潜在市场需求超过200万人次。这意味着超过60%的旅客选择第三地中转方式来往于两国之间。2017年上半年两国间航线客运量34.1万人次，同比增长12.7%。从不同季度客运量观察，第四季度两国间航线属于繁忙季节。2017年第二季度中印航线相较去年同期仅增长4.6%，远低于近年平均增速。从中印航空市场不同城市之间航线观察（一度停飞的北京-孟买未统计），2016年以来广州-德里、北京-德里增速较快。2017年上半年，中印航线客运量按中方城市排序由高至低依次为广州、昆明、北京、上海。广州、昆明凭借地理位置优势，吸引到了部分国内中转旅客。从四家中国航空公司在中印航线客运量观察，东航客运量相对稳定，国航波动较大。山航在中印航线客运量明显增长。我国的三大航在进入2017年第二季度后，客运量几乎与往年持平。中印两国关系的变化极可能将对航空市场带来较大的影响，航空公司需提早准备。但长远观察，中印之间现有的中转旅客规模仍预示着较大的直飞市场空间。中方航空公司在航权用尽的情况下，只有通过机型的调整来改变在中印航线的运力投放。印度的低成本航空公司尚未进入中印航线，笔者认为未来大环境向好时，随着更多印度的航空公司进入市场，中印两国的航空公司或可尝试代码共享、国内-国际中转合作、联营等方面的业务，争取更多的潜在旅客。'
4,复来君,龙象之争 中印海陆空顶尖装备性能对比,6438398794148217090,2017-07-03,24,6,4,213,
5,财新无所不能,中印“光伏暗战”开启第三回合,6452953880598135053,2017-08-11,26,1,1,1147, '【无所不能 文|行琛】中印两国在边境问题上僵持不下的当口儿，印度的光伏业也火上浇油。上个月底，针对6月印度多家光伏企业联合印度新能源和可再生能源部（MNRE）呈递的联合请愿，印度商工部反倾销局（DGAD）正式发出公告，将对中国大陆、中国台湾、马来西亚等地进口的太阳能电池和组件展开反倾销调查。这意味着中国光伏组件生产商可能会面临着高额的反倾销税，又一场中印“光伏暗战”即将打响。三度对华发起反倾销是有多大仇？这已经是印度第三次对中国光伏组件制造商发起反倾销了。第一次反倾销发起于2012年，对象包括美国、欧盟、中国大陆和台湾地区及马来西亚，但并未成案。2014年，印度再度宣称将对来自中国、美国和马来西亚的太阳能电池板征收反倾销税，其中中国光伏企业承受的反倾销税最高，达0.81美元/瓦（5.0513元/瓦）。那时，中国向印度出口的太阳能电池板价格约为0.6美元/瓦，反倾销税是太阳能电池板本身价格的1.35倍，加上被征收的0.81美元/瓦反倾销税，意味着中国太阳能电池板售价达到了1.41美元/瓦，不再具有任何价格优势。所幸，这次反倾销2015年撤销诉讼。2014年5月26日，莫迪带着他雄伟的可再生能源计划正式就职印度总理。从上任伊始，莫迪便开始进行大刀阔斧的改革，举全国之力大力发展新能源，他将太阳能视为印度能源供给的“终极解决方案”，提出了到2022年实现100GW光伏装机的远景目标。与此同时，莫迪也提出主张保护国内组件生产商，要求计划建设的60GW光伏电站和40GW屋顶项目中每类必须保证使用国内生产组件容量5GW。如此激进的目标加上政府的支持给印度国内生产商打了一针强心剂，然而具体实施过程中，印度却不得不面对一系列现实的问题。首先是产能不足，据印度分析机构Brge To India的分析，2016年印度企业共生产了1.33GW的光伏组件，而年均装机量却达到了10GW。本地产能远远不能达到装机目标，大部分组件还是要靠进口。另一个因素是价格，据报道从中国进口的光伏电池和组件价格比印度本土的产品价格分别低25-35%和10-20%。根据世界贸易组织的规定，印度制定的保护本国企业的“国内容量要求”将在今年12月到期，届时将不会有对使用进口组件的限制。这对原本就缺乏竞争力的印度本土企业来说无疑是雪上加霜，于是他们在走投无路的情况下联合起来第三次请愿反倾销。图片来源：视觉中国中国出口商占据市场优势印度分析机构Brge To India发布的《印度太阳能地图(2016年版)》显示，2016年印度前10家组件供应商有8家来自中国，为阿特斯、天合、晶澳、协鑫集成、比亚迪、昱辉、正泰和中利腾晖。目前印度光伏装机量约75%采用的是中国内地厂商的组件产品，15%从美国进口，剩下的由本土制造商提供。由于大部分组件来自进口，本土制造商只有不到20%在开机生产。印度光伏企业协会称，从中国倾销的低价光伏组件已经将印度国内光伏组件的售价下压了4成。该协会的负责人DhruvSharma称中国的电池价格在30美分/瓦而印度产品的价格为40美分/瓦。中国企业价格上的优势，主要是中国组件生产商的规模效应，即随着产量的增长带来的边际成本下降，国内的产能过剩也刺激了生产商外销。此外，印度本土多晶硅资源匮乏，比资源丰富的中国本来就不具有先天优势。一位行业内人士对媒体Climate Home分析，一旦印度国内容量要求到期，中国企业在市场上就可以更加主动。对于企业的担忧，印度可再生能源部的一名官员表示政府将会出台“一些政策”来支持国内厂家。但能源咨询公司MercomCapital集团总裁RajPrabhu对此表示怀疑，他称相比中国光伏制造商，印度制造商没有投入足够的财力研发，当前的印度光伏产业商业模式依然是“进口于中国，组装在印度”。图片来源：视觉中国印度反倾销左右为难然而，本土企业的生存并不是政府需要考虑的唯一问题。虽然来自上游的呼声很高，但便宜的光伏产品满足了下游电站的巨大需求。长期以来依赖进口的商业模式使得印度光伏行业没有发展成良好的产业链，组件生产商在自主研发上的投入也不足。而减少了对进口的依赖势必会造成无法达到政府提出的目标。如今的印度光伏产业怕是离了中国也不行，过渡依赖也不行，政府陷入了两难。中国方面，考虑印度是中国最大的光伏组件出口目的地，一旦受到反倾销将对中国光伏组件制造商产生高昂的附加成本。商务部贸易救济调查局局长王贺军表示，近年来印度光伏市场发展迅猛，受益于中国向其出口的价格合理、品质优良的光伏电池及组件。对光伏电池及组件采取贸易限制措施不利于印度光伏产业的发展和可再生能源目标的实现，不利于全球光伏产业链的深度整合和长期发展，也不利于中印经贸合作。希望印方着眼全局，对此案采取慎重态度，严格依规开展调查，避免滥用贸易救济措施。和过去单纯地进行组件出口不同，如今中国光伏企业“走出去”的方式早已升级。中国光伏企业已经不再单纯出口光伏组件，而是进行电站建设、EPC总包服务。很多走出去的光伏企业通过对外承包工程向海外市场输出资金、技术和服务，成为提供能源综合解决方案的供应商，对印度光伏产业可以起到积极作用。版权声明 | 稿件为无所不能原创如需转载或合作请在后台回复【转载】直接报名：长按识别上方图片中二维码或点击“阅读原文”↓↓'
6,书生武评,中印陆军主战装备解析,6440051291686306049,2017-07-07,0,0,0,1, '印度军队这一两年来发展很快。引进了很多先进装备，并把中国作为其假想敌。还省称其军队世界第三那么印度军队真的向他们省称的那么强吗？我们来做一个对比，陆军：中国军队有尽100万兵种齐全，陆军航空兵的建设也十分快。在主战坦克方面我们有自己研制的99式，而印度自己的但可以研究就是数十年还没成果。值得进口。可进差距还是比较大。空军：它们和我们同时进口的苏30.只是型号不同。而且比我们先进。但好像他们只顾先进不顾系统的融合和稳定了。ACL好像还没量产。而我们的苏30则较稳定已形成战斗力了。自研的歼十则已量产。海军还可以有航空母舰，但是都太旧了。我们没有。但我们的军舰现在自产的比较多进口的不多。印度军队还有一个最大的弱点，我军则没有。印度军队士兵文化水平低。这就是其最大弱点应为现代装备需要高技术人才，印度有许多高技术人才可他们一般不参军。这样一支部队在现代化战争中还不如用传统武器部队的战斗力。所以我军在和印军大的话印军可能还要败。'
7,知秋水,中印富豪生活对比，差距惊人,6445605557268447502,2017-07-22,4,3,2,54, ' 一直以来，印度在大家眼中都是一个很神奇的存在，对于阿三哥也有很多标签，“强奸之都”，“世界最大贫民窟”等等，今天带大家感受一下，在这块神奇的土地上，富人是怎么生活的。印度首富穆克什·安巴尼和妻子 穆克什特地在孟买市中心投资10亿美元的“安蒂拉”宫殿供首富全家6口人居住的“安蒂拉”宫殿 2011年10月28日，印度首富穆克什-安巴尼在印度孟买购买的一座世界上最昂贵的27层豪宅从竣工至今一直闲置。他之所以不愿搬进去，因为潜心风水学的他认为，这座建筑物不符合古老的印度建筑的风水原则，居住在这里可能会给他带来坏运气。 同样是首富，咱们中国就低调多了。今日马云在非洲与青年交流 为了全世界中小企业发展操碎了心，哪有时间去追求享受，向马爸爸学习！'
8,参考消息,中印对峙将尼泊尔置于微妙位置？中印高官前后脚访问尼泊尔引猜,6453159041497186573,2017-08-12,75,7,4,2529," '【环球时报驻印度特约记者 汪淼 环球时报特约记者 陈欣】当地时间10日下午,印度外长斯瓦拉吉抵达尼泊尔首都加德满都。她此行是为参加第15次“环孟加拉湾多部门经济技术合作组织”(BIMSTEC)外长会。但在不少印度媒体看来,在印中持续对峙的背景下,斯瓦拉吉的访问少不了拉拢尼泊尔的打算。与此同时,印度方面也在密切关注中国国务院副总理汪洋下周的尼泊尔之行。在10日晚会议开幕之前,斯瓦拉吉在加德满都会晤了尼泊尔总理德乌帕。这已经是斯瓦拉吉第六次到访尼泊尔,但在德乌帕上台后,这还是第一次。据报道,双方探讨了一系列双边议题,包括印度对尼泊尔的援助、尼泊尔政局发展等。尼方表示,双方谈及两国加强合作的事宜以及德乌帕访问印度首都新德里的安排。在会面后,斯瓦拉吉还与尼泊尔总统班达利通电话。印度外交部发言人库马尔在一份声明中说,斯瓦拉吉回忆了班达利今年早些时候的到访如何令两国由来已久的关系得以加强,双方探讨如何加深两国的文化及人民交流。《新印度快报》11日评论说,印度2015年对尼印边界进行封锁后,两国关系陷入低谷。双方现在都意识到,有必要将两国关系提升到一个新高度。没有信息显示,斯瓦拉吉是否向德乌帕提及洞朗问题。但有官员透露说,双方进行了15分钟的一对一会谈,可能谈及高度敏感的外交问题。香港《东方日报》评论说,中印两国在洞朗地区对峙持续,牵动外交角力,与两国接壤的尼泊尔日前表示保持中立。斯瓦拉吉的访问正是在这一背景下展开的。《印度快报》渲染说,尼泊尔国内的某些政治态势以及中国对加德满都的主动态势表明,沉默或许是谨慎之举,但可能不是尼泊尔此刻令人满意的反应。有部分高级外交官建议德乌帕重审一份2015年5月达成的协议。该协议旨在扩大在位于中尼印交界处的里普列克山口的边境贸易。此前,《印度斯坦时报》曾援引消息人士的话称,斯瓦拉吉访问尼泊尔表面上是为了参加这次外长会,但实际目的则是“为德乌帕即将进行的访印之旅定调”。与此同时,印度也在关注中国与此有关的一举一动。印度《第一邮报》11日称,斯瓦拉吉和德乌帕的会晤恰在中国国务院副总理汪洋下周访问尼泊尔前夕,印度将密切注视此访。《印度快报》说,预计中国会鼓励尼泊尔参与“一带一路”项目及建设。尼泊尔前总理奥利最近应邀前往拉萨,他显然听取了中国在洞朗问题上的立场,接收到中国尊重尼泊尔和不丹主权的信息。该报警惕地表示,“在印中军事对峙之际,中国在尼泊尔扩大影响力不是好兆头”。俄罗斯卫星新闻网11日评论说,对于试图平衡与中印关系的尼泊尔来说,目前的中印对峙将其置于一个微妙的位置。因为夹在两个亚洲巨人中间,尼泊尔历史上一直对中印保持等距离。不过,尼泊尔2015年颁布新宪法后,印度和尼泊尔的关系一直紧绷。与此同时,中国与尼泊尔近来关系走近,后者希望从中国的“一带一路”倡议中获得巨大利益。2016年,中国超过印度,成为尼泊尔第一大援助国。“洞朗之外,中国如何以金钱、武器赢得印度的邻国”,《今日印度》在以此为题的报道中比较说,尼泊尔是中国“一带一路”倡议的伙伴,该国将这视作在商路上减少对印度依赖的一个机会。今年早些时候,在加德满都举行的尼泊尔投资峰会上,印度承诺拿出3.17亿美元帮助其北部邻居,而中国打算投资83亿美元。'"
9,湖南反邪,中印边境局势,6446985102890107405,2017-07-26,228,35,53,5989, &quot; &quot;;            display: block;            border-left: 1px solid #e8e8e8;            height: 120px;            position: absolute;            right: 76px;            top: 20px;        }        .pgc-cover {            position: absolute;            width: 162px;            height: 162px;            top: 0;            left: 0;            background-size: cover;        }        .pgc-content {            overflow: hidden;            position: relative;            top: 50%;            -webkit-transform: translateY(-50%);            transform: translateY(-50%);        }        .pgc-content-title {            font-size: 18px;            color: #222;            line-height: 1;        font-weight: bold;            overflow: hidden;            text-overflow: ellipsis;            white-space: nowrap;        }        .pgc-content-desc {            font-size: 14px;            color: #444;            overflow: hidden;            text-overflow: ellipsis;            padding-top: 9px;            overflow: hidden;            line-height: 1.2em;            display: -webkit-inline-box;            -webkit-line-clamp: 2;            -webkit-box-orient: vertical;        }        .pgc-content-price {            font-size: 22px;            color: #f85959;            padding-top: 18px;            line-height: 1em;        }        .pgc-card-buy {            width: 75px;            position: absolute;            right: 0;            top: 50px;            color: #406599;            font-size: 14px;            text-align: center;        }        .pgc-buy-text {            padding-top: 10px;        }        .pgc-icon-buy {            height: 23px;            width: 20px;            display: inline-block;            background: url(&#39;https://s0.pstatp.com/pgc/v2/pgc_tpl/static/image/commodity_buy_f2b4d1a.png&#39;);        }                                            变化中的印度：21世纪印度国家新论                        ￥34.9                                        购买                        '
