,author,url,upvote,target_id,target_type,content,time,id
0,lidang,https://www.zhihu.com/question/62646673/answer/201567552,1727,62646673,question,中印爆发战争，有助于世界经济重心重回西方世界，有助于趁机解决南海海域和岛屿主权问题，有助于趁机以香港、台湾、西藏、新疆等问题向北京政府施压，有助于促进俄罗斯、欧盟和美国的国际军火贸易，有助于彻底打击亚洲经济增长势头，有助于各大跨国资本增加在中印两国间斡旋的谈判筹码，有助于大幅提高石油需求，复苏海湾各国、俄罗斯、委内瑞拉等传统产油国的经济，进一步提升国际油价乃至振兴全球石油化工行业，有助于进一步找到借口封锁中国经济，增加和北京政府在贸易、人权、军事、主权等问题上的筹码。总而言之，中印开战这件事，可以说是一件全世界翘首以盼的大好事！谁调停谁是大傻子！,2017-07-21,201567552
1,cao-feng-ze-37,https://www.zhihu.com/question/62646673/answer/201521276,733,62646673,question,不管你们怎么觉得严重，我认真地觉得，中印对峙离开战还差着十多次升级呢。警告，通牒，撤资，撤侨，断交，冷冲突，热冲突……（排名不分先后）其中，撤资也分等级，是撤热钱啊，还是全撤光啊，连厂子也不要？撤侨也是，是把旅游的撤走，是撤走公民，还是连侨民、华人都撤走啊？冲突也是，是肢体冲突啊，还是拿棒子打啊，还是开枪啊，还是开炮啊，有没有重炮，上不上武直？断交怎么断啊？是降低到公使级？代办级？还是就留个二等秘书？还是全部断干净？这都要一点一点升级的，早着呢。现在就调停，调停啥啊，说打了吗？没说过啊。,2017-07-21,201521276
2,wang-wen-hua-10-98,https://www.zhihu.com/question/62646673/answer/201337287,1047,62646673,question,现在的世界中国服谁？印度服谁？都自称世界强权，民族主义无比亢奋！美国盼你们打！俄国盼你们打！欧洲盼你们打！日本盼你们打！东盟小国盼你们打！就是巴铁也盼你们打！原因：恐惧，忌妒，恨！美国借一，二战发大财中国借越战，阿战，伊战闷声赚美国世界各国有样学样！看看俄罗斯因为打占了克里米亚被西方制裁，中国网友的兴奋劲，俄国人也不愿意光做冤大头的角色。发财的机会可别错过，快打吧！！！这是这个诡闔的世界共同的心声！只是暂时没人敢大声喊出来而已，调停个p！这才是他们期待的大戏看大戏喽！！！,2017-07-21,201337287
3,lu-chen-xi-9-98,https://www.zhihu.com/question/62646673/answer/201822793,1372,62646673,question,如果今天局势紧张的是中国和俄罗斯，那没准还真有调停的。很多人想如果中国和俄罗斯打西方国家岂不是有更多的洋落可捡？还真不一定。老毛子从苏联时期开始，他的战略思维就是核弹开路，在他常规力量根本无法对抗中国的时候，必然扬长避短，到时候中俄核大战，全世界谁也好不了，所以中俄之间也许会有调停的。问题是，这可是三哥呀！！！这可是从坦克到子弹全靠进口的三哥呀！！！印度如果明天和中国开战，全世界的军火贩子能乐疯了，坐地起价眼睛都不带眨一下的，只此一家爱买不买，除非你想开些阿琼和LCA来跟中国火拼。所以，美国欧洲俄罗斯的心态完全就是：至于台湾日本，那更是巴不得盼着早点开战，早打，大打，打核战争，打完了我们好占东海搞独立。海合会的土豪等着卖石油，澳大利亚等着卖铁矿，巴西南非盼着能接收一点产业转移。韩国盼着开战好让自己怼一下朝鲜，朝鲜希望开战能让拥核的障碍少一点。就连巴铁，心里也不一定盼着中印和平，毕竟有个大哥帮你解决对手那是求之不得的事儿。所以这件事儿，全世界说的上话的国家没有一个不盼着中国印度开战的。但是，，，中国和印度不想打。中国不用说了，中国像是一个猎人，手里拿着一杆只有一颗子弹的猎枪，周围群狼环饲。打了印度就打不了别人。印度呢？他疯了他和中国开战？为了转嫁矛盾进行一次政治冒险而已，因为个边境冲突打世界大战是典型的得不偿失。所以，居然指望着有人调停？？？对于各国领导人来说：,2017-07-22,201822793
4,warmwine,https://www.zhihu.com/question/62646673/answer/201558653,485,62646673,question,鹬和蚌看着旁边的渔翁，说，咦你特么怎么不来调停啊……渔翁问号.jpg,2017-07-21,201558653
5,qin-xu-ming-38,https://www.zhihu.com/question/62646673/answer/201589337,303,62646673,question,天啊，撮火都来不及，谁愿调这个停呀？美国拎来两桶汽油。普京送上一包火药。日本准备了几梱干柴。东南亚小朋友们抱小板凳占座位来了。欧罗巴扯上老情人英格兰一路吆喝过来：瓜籽饮料矿泉水儿，马扎小凳望远镜，前面的小朋友，让一让，让一让呢……台北菜菜子听到消息后更是激动得口水都不敢吞咽，生怕错过了收听喜讯的当儿，如同洗完澡钻进被窝里等待夫君推门响动的新娘子一般候着第一声枪响……可是，都一个多月过去了。特么怎么还不开打？成心急死八个人么？再说，国内键盘脱销。手机换屏业务骤涨。…………、…、、……分割线………、、、…………腾讯新闻25日电。老王发话了：给我老老实实退回去三哥，别惹老王生气了观众朋友们，找好座位，保持安静…………三哥走人了，世界会不会很失望？,2017-07-21,201589337
6,jjdxbb,https://www.zhihu.com/question/62646673/answer/201995084,145,62646673,question,1987年中印冲突的时候阵势比这大得多，双方都局部动员了，兔子这边四个野战师进藏，号称准备一口吃掉三哥最前面的两个师……然而，双方表明上都喊得凶，但实际都不敢动手，中国是因为南疆还打着呢，两线同时打确实压力太大，印度则因为国内问题一大堆，而且也没62年阴影太大。结果绷全世界各国都听响，但就是没打起来。后来苏联终于忍不住客气了一句。然后双方都找到台阶了……下图是昨天的印度时报，三哥也在着急啊,2017-07-22,201995084
7,kishen-sharma,https://www.zhihu.com/question/62646673/answer/201840759,65,62646673,question,两国GDP总量占全世界的17.8%，PPP（购买力平价）后的GDP占全世界的24.6%，人口占全世界的36.3%[1]，两国也不是能源和自然资源的出口大国，两国粮食出口总量也就占全世界的6.8%[2]，恐怕世界上大多数多数国家都希望这两个国家打一仗两败俱伤，通过分食两国尸体能续很长时间的命。说实话，某些国家并不是支持印度的，只是支持印度和中国打起来。其实，印度在1962年就被美国坑过一次[3]。参考资料：[1] http://data.worldbank.org/[2] 全球十大粮食出口国：美国占去一成，中国位居第三！[3] 1962年尼赫鲁密电：解放军势不可挡 急向美求援,2017-07-22,201840759
8,you-shan-jun-52,https://www.zhihu.com/question/62646673/answer/201582536,105,62646673,question,你听说过有国家给美国做调停么？你听说过有人给马云马化腾做调停么？你想走面子？你确定你在他们面前有面子？你想走人情？他们的人情你欠得起么？国家一样的道理。,2017-07-21,201582536
9,hu-hu-hu-hu-53-27,https://www.zhihu.com/question/62646673/answer/201690021,63,62646673,question,自从小德子这种一挑就上的主彻底被坑服了，便宜了小美和小苏后，大国之间就不那么冲动了。自从小苏子这种暴脾气被小阿坑死了，便宜了小美和小萌后，大国小国之间都要费思量了。自从小美子这种高富帅被小伊和小阿坑穷了，便宜了小中后，啥几把国家都不敢打了。现在，一堆人等着占便宜，就等着小中打神经病。,2017-07-21,201690021
