,author,title,content,time,id
0,hui-mou-yixiao-dao-cang-sheng,中印交恶，为何少见有人抵制捷豹路虎？,韩国部署萨德之后现代起亚销量暴跌，为何捷豹路虎却能独善其身？,2017-07-07,62130217
1,ha-ha-ha-ha-ha-ha-ha-ha-ha-ha-86,现在有没有进入战备状态，中印打起来人民币会不会贬值？有什么不损害国家的应对措施？,我看到周围小区的地下停车场都要挂个地下防空室的牌子，以前是没有看到的，中印冲突升级会不会造成国内资源短缺，进而物价上涨，人民币贬值，谢谢,2017-08-01,63246566
2,wo-you-yige-da-xue-meng,犯我中华者虽远必诛，如何看待即将到来的中印战争？,,2017-07-26,62985665
3,dan-kan-25,假设中印再战、“未虑胜先虑败”所以哪怕怎么都不会输也必须考虑。怎么防止失败和减少失败后的影响。？,"<a href=""http://www.zhihu.com/question/62616196"" class=""internal""><span class=""invisible"">http://www.</span><span class=""visible"">zhihu.com/question/6261</span><span class=""invisible"">6196</span><span class=""ellipsis""></span></a> <br>印度怎么才能打败中国？泼下冷水以求战之必胜？",2017-07-18,62613566
4,han-ri-xiao-bai,就目前来看，中印双方打起来的几率有多大?,,2017-07-22,62791169
5,xin-nuan-hua-kai-70,此次中印对峙，印度有怎样的战略图谋？,是断定中国不会打？是背后有美日推手？是为了转移国内矛盾？是因为一带一路？还是…………<br>与其争论打不打，还不如先看下三哥的底牌。,2017-07-16,62515496
6,yan-fei-11-68,如何看待印度与中方边境对峙事件？,如何看待印度与中方边境对峙事件,2017-07-23,62841107
7,ta-ta-wu-di,中印对峙让印度看清楚了中国底线？,中印对峙，让印度看清了中国底线。北京六环。再往里走房价太高，不好移民,2017-07-24,62885441
8,qiu-zhi-hong-56,为什么中印对峙，联合国一直不表态啊？,,2017-07-30,63180702
9,,宋金长期对峙局面形成的原因？,"从宋金两方面说明 <a data-hash=""28f2b10eb2c8c415cc3cdd84e3c03a79"" href=""https://www.zhihu.com/people/28f2b10eb2c8c415cc3cdd84e3c03a79"" class=""member_mention"" data-hovercard=""p$b$28f2b10eb2c8c415cc3cdd84e3c03a79"">@张方</a>  <a data-hash=""fbe53c6c9e56f9261f4da227efd4d5c5"" href=""https://www.zhihu.com/people/fbe53c6c9e56f9261f4da227efd4d5c5"" class=""member_mention"" data-hovercard=""p$b$fbe53c6c9e56f9261f4da227efd4d5c5"">@苏沉</a>  <a data-hash=""9336793d2bee725a12135a94af8aab2d"" href=""https://www.zhihu.com/people/9336793d2bee725a12135a94af8aab2d"" class=""member_mention"" data-hovercard=""p$b$9336793d2bee725a12135a94af8aab2d"">@李正Str</a>  <a data-hash=""06916ab5292b620917a7be1b4945a19d"" href=""https://www.zhihu.com/people/06916ab5292b620917a7be1b4945a19d"" class=""member_mention"" data-hovercard=""p$b$06916ab5292b620917a7be1b4945a19d"">@司马懿</a>  <a data-hash=""dd851a5ba9de70dcf4ce6b9604fd01c2"" href=""https://www.zhihu.com/people/dd851a5ba9de70dcf4ce6b9604fd01c2"" class=""member_mention"" data-hovercard=""p$b$dd851a5ba9de70dcf4ce6b9604fd01c2"">@狐狸晨曦</a> ",2017-06-27,61657762
10,kong-ji-yi-ban-bo,宋金为什么可以长期对峙？,,2017-07-01,61886283
